1;Islamska Republika Afganistanu;Bagram – Polish Military Camp;Baza Lotnicza;Parwan;34.9630977;68.81088489999999
2;Republika Albanii K;Tirana, Ambasada RP;Rr. Durresit 123;Tiranë;41.3275459;19.8186982
3;Algierska Republika Ludowo-Demokratyczna K;Algier, Ambasada RP, Wydział Promocji, Handlu i Inwestycji;4 ter, rue Rabah Bourbia – BP 148;16606 El-Biar, Alger;36.7690092;3.0309946
4;Republika Angoli K;Luanda, Ambasada RP;Rua Damião de Góis 64 CP. 1340, Alvalade;Luanda;-8.829771599999999;13.2360501
5;Królestwo Arabii Saudyjskiej K;Rijad, Ambasada RP;Al-Warood Area 20, Abdullah Bin Dzafar Street;Riyadh 11693;40.6166766;-73.8272029
6;Republika Argentyńska K;Buenos Aires, Ambasada RP;Alejandro Maria de Aguado 2870;C 1425 CEB Buenos Aires;-34.6037232;-58.3815931
7;Republika Armenii K;Erywań, Ambasada RP;Hanrapetutyan 44a;0010 Yerevan;40.183333;44.516667
8;Związek Australijski K;Canberra, Ambasada RP;7 Turrana Street;Yarralumla, ACT 2600;-35.308999;149.113587
9;Związek Australijski K;Sydney, Konsulat Generalny RP;10 Trelawney Street;Woollahra, NSW 2025;-33.883963;151.240212
10;Związek Australijski;Melbourne, Federacja Polskich Organizacji w Wiktorii;Suite 305, 3 Chester Street;Oakleigh, VIC 3166;-37.898902;145.087784
11;Republika Austrii K;Wiedeń, Ambasada RP;Hietzinger Hauptstrasse 42c;1130 Wien;48.1872912;16.2896479
12;Republika Austrii;Wiedeń, Stałe Przedstawicielstwo RP przy Biurze Narodów Zjednoczonych i Organizacjach Międzynarodowych;Hietzinger Hauptstrasse 42c;1130 Wien;48.1872912;16.2896479
13;Republika Azerbejdżanu K;Baku, Ambasada RP;Kiçik Qala küç. 2;AZ 1000 Bakı;40.40926169999999;49.8670924
14;Królestwo Belgii;Bruksela I, Ambasada RP;Rue Stevin 139;1000 Bruxelles;50.84373309999999;4.3851026
15;Królestwo Belgii;Bruksela II, Ambasada RP (dawna siedziba);Avenue des Gaulois 29;1040 Bruxelles;50.8388102;4.3967809
16;Królestwo Belgii K;Bruksela III, Wydział Konsularny Ambasady RP;Rue des Francs 28;1040 Bruxelles;50.8382867;4.3969493
17;Królestwo Belgii;Bruksela IV, Polska Misja Katolicka;Rue Jourdan 80;1060 Bruxelles;50.8328989;4.3514757
18;Królestwo Belgii;Antwerpia, Szkolny Punkt Konsultacyjny im. Gen.  Maczka;Sint Jan Berchmanscollege Jodenstraat 15;2000 Antwerpen;51.2169636;4.407373199999999
19;Republika Białorusi K;Mińsk, Ambasada RP;vulica Biaduli 11;220034 Minsk;53.9038609;27.5858867
20;Republika Białorusi K;Brześć, Konsulat Generalny RP;vulica Kujbyšava 34;224016 Brest;48.390394;-4.486076
21;Republika Białorusi K;Grodno, Konsulat Generalny RP;vulica Budzionnaha 48A;230023 Hrodna;53.6845586;23.845105
22;Bośnia i Hercegowina K;Sarajewo, Ambasada RP;Višnjik 20;71000 Sarajevo;43.8562586;18.4130763
23;Federacyjna Republika Brazylii K;Brasilia, Ambasada RP;Av. das Nações, Lote 33 Quadra 809;CEP 70.423.900, Brasília-DF;-15.825043;-47.893464
24;Federacyjna Republika Brazylii K;Kurytyba, Konsulat Generalny RP;Av. Agostinho Leão Júnior 234, Alto da Glória;CEP 80-030-110, Curitiba - PR;-25.4289541;-49.267137
25;Republika Bułgarii K;Sofia, Ambasada RP;Chan Krum 46;Sofia 1000;42.6978209;23.3245641
26;Republika Bułgarii;Warna, Szkolny Punkt Konsultacyjny przy Ambasadzie RP;Marin Drinov 68;9002 Varna;43.2122835;27.9225546
27;Republika Chile K;Santiago, Ambasada RP;Calle Mar del Plata 2055;Providencia - Santiago;-33.4329368;-70.6081224
28;Chińska Republika Ludowa K;Pekin, Ambasada RP;1 Ritan Lu, Jianguomenwai;100600 Beijing;39.904211;116.407395
29;Chińska Republika Ludowa K;Kanton, Konsulat Generalny RP;63 Shamian Dajie;510130 Guangzhou;23.12911;113.264385
30;Chińska Republika Ludowa K;Szanghaj, Konsulat Generalny RP;618 Jianguo Xi Lu;200031 Shanghai;31.230416;121.473701
31;Chińska Republika Ludowa K;Hongkong, Konsulat Generalny RP;Hopewell Centre, room 2506 183 Queen’s Road East;Wan Chai, Hong Kong;22.2747242;114.1718964
32;Miasto Tajpej K;Tajpej, Warszawskie Biuro Handlowe,;TWTC/ITB Suite 1601-1602, No. 333, Keelung Rd.  Sec. 1;Taipei 110;25.0287024;121.5769572
33;Republika Chorwacji K;Zagrzeb, Ambasada RP;Krležin Gvozd 3;10000 Zagreb;45.8150108;15.981919
34;Republika Cypryjska K;Nikozja, Ambasada RP;12-14 Kennedy Avenue Office 601;1087 Nicosia;35.166667;33.366667
35;Czarnogóra K;Podgorica, Ambasada RP;Stari Areodrom, Kozaracka 79;81 000 Podgorica;42.441286;19.262892
36;Republika Czeska K;Praga, Wydział Konsularny Ambasady RP;Truhlářská 13-15;110 00 Praha 1;50.0904943;14.4294385
37;Republika Czeska K;Ostrawa, Konsulat Generalny RP;Blahoslavova 4;701 00 Ostrava;49.8209226;18.2625243
38;Królestwo Danii K;Kopenhaga, Ambasada RP;Richelieus Allé 12;2900 Hellerup;55.738146;12.583159
39;Królestwo Danii;Aarhus, Skt. Knuds Skole;Ryesgade 24;8000 Aarhus C;56.151726;10.204164
40;Arabska Republika Egiptu K;Kair, Ambasada RP;5 Aziz Osman Street, Zamalek;Cairo;30.0609422;31.219709
41;Republika Estońska K;Tallin, Ambasada RP;Suur-Karja 1/Vana Turg 2/4;10140 Tallinn;59.4364745;24.7464462
42;Federalna Demokratyczna Republika Etiopii K;Addis Abeba, Ambasada RP;Dej. Balay Zeleke Road Gulele Sub City, Kebele 08, House no. 583;27207/1000 Addis Ababa;8.9806034;38.7577605
43;Republika Finlandii K;Helsinki, Ambasada RP;Armas Lindgrenin tie 21;00570 Helsinki;60.1799862;25.0161946
44;Republika Francuska;Paryż I, Ambasada RP;57, rue Saint-Dominique;75007 Paris;48.8592173;2.3154392
45;Republika Francuska;Paryż II, Ambasada RP;57, rue Saint-Dominique;75007 Paris;48.8592173;2.3154392
46;Republika Francuska K;Paryż III, Wydział Promocji Handlu i Inwestycji Ambasady RP;86, rue de la Faisanderie;75116 Paris;48.8668888;2.2742513
47;Republika Francuska;Aulnay-sous-Bois, Ecole Anatole France;43/45, rue Anatole France;93600 Aulnay-sous-Bois;48.9368305;2.4942675
48;Republika Francuska;Lille, La Halle aux Sucres;1, rue de l’Entrepôt;59000 Lille;50.6438093;3.0598863
49;Republika Francuska;Strasburg, Stałe Przedstawicielstwo RP przy Radzie Europy;2, rue Geiler;67000 Strasbourg;48.5879296;7.764214399999999
50;Republika Francuska K;Lyon, Konsulat Generalny RP;79, rue Crillon;69458 Lyon cedex 06;45.764043;4.835659
51;Republika Francuska;Tuluza, lokal Aldona Kaluza Consulting;19, rue Héliot;31000 Toulouse;43.60783780000001;1.4496141
52;Republika Grecka K;Ateny, Ambasada RP;Kontoleontos 1;154 52 Paleo Psichikο;37.983917;23.7293599
53;Republika Grecka;Heraklion, Konsulat RP*;1821 Str. 39;712 01 Iraklio, Kriti;35.337249;25.1333357
54;Republika Grecka;Saloniki, Konsulat RP*;Tsimiski 78;546 22 Thessaloniki;40.6308276;22.9458583
55;Gruzja K;Tbilisi, Europe House Georgia;2 Shalva Dadiani;Tbilisi 0105;41.6927749;44.802014
56;Królestwo Hiszpanii K;Madryt, Ambasada RP;Avenida Miraflores, 50;28035 Madrid;40.4711442;-3.7321552
57;Królestwo Hiszpanii K;Madryt, Wydział Konsularny Ambasady RP;C/Goya 15 4°;28001 Madrid;40.42547;-3.687372
58;Królestwo Hiszpanii;Madryt, Instytut Polski;C/ Felipe IV, 12, bajo A;28014 Madrid;40.4156747;-3.6952896
59;Królestwo Hiszpanii;Pampeluna, Konsulat RP*;Avenida Pío XII, 1, 5ª planta;31002 Pamplona;42.8142568;-1.6432837
